
[SYSTEM | 2026-01-12 14:35:56] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:39:55] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:40:04] Utworzono nowe konto: hjk
[SYSTEM | 2026-01-12 14:40:40] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:40:41] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 14:41:53] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:41:55] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 14:48:08] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:48:10] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 14:49:39] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:51:45] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:53:41] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:53:46] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 14:56:32] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:56:34] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 14:57:19] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 14:57:20] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 15:00:52] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 15:00:53] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 15:04:31] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 15:04:32] Zalogowano u¿ytkownika: 1
[SYSTEM | 2026-01-12 15:04:42] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 15:04:47] Zalogowano u¿ytkownika: jkow
[SYSTEM | 2026-01-12 15:04:54] U¿ytkownik jkow kupi³ produkt o ID: 0
[SYSTEM | 2026-01-12 15:05:16] U¿ytkownik jkow kupi³ produkt o ID: 2
[SYSTEM | 2026-01-12 15:05:49] U¿ytkownik jkow kupi³ produkt o ID: 1
[SYSTEM | 2026-01-12 15:11:18] Zwiêkszono rozmiar tablicy do 12 elementów.
[SYSTEM | 2026-01-12 15:11:19] Zalogowano u¿ytkownika: 1
